시도명,시군구명,시군구코드,도로명,시점,종점,허용면,허용구역도로길이,평일주정차허용시간,토요일주정차허용시간,공휴일주정차허용시간,명절허용여부,관리기관명,관리기관전화번호,데이터기준일자
서울특별시,강남구,11680,언주로,개포시영아파트 앞 대기차로 시점(개포동 656),(대기차로 종점),편측,0.1,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,언주로,개포현대1차아파트앞 대기차로 시점(개포로 303),(대기차로 종점),편측,0.09,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로 ,도곡경남아파트 102동 앞(논현로 209),도곡한신아파트 4동 앞(논현로 205),양측,0.52,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,대기차로시점(논현로 57),(대기차로 종점),편측,0.06,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,대기차로 시점(논현로 74),(대기차로 종점),편측,0.07,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,삼성로,포스코빌딩 동측 대기차로 시점(테헤란로 440),(대기차로 종점),편측,0.07,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,삼성로 ,경기여고 정문 앞 대기차로 시점(삼성로 29),(대기차로 종점),편측,0.06,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,영동대로,주공7단지 702동 앞(개포로 516),주공7단지 706동 앞(개포로 516),편측,0.18,22:00~익일06:00,22:00~익일06:00,22:00~익일06:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,일원동교회 앞(광평로10길 14-41),한솔공원 앞(일원동 732),편측,0.23,21:00~익일07:30,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,구룡초교 앞(개포로 263),동산교회 부근(개포로 257),편측,0.2,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,삼천리자전거 앞(개포로 260),개포시영 북문(개포동 656),편측,0.2,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,선릉로,주공2단지 재건축현장 앞(개포동 140),선릉로 52,편측,0.62,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포주공1단지 3동 앞(개포로 310),개포주공1단지 125동 앞(개포로 310),편측,0.62,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,남서울교회 앞(삼성로 40),개포종합상가(개포로 512),편측,0.22,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포근린공원 앞(개포로 509),개포동역 4번 출구 앞(개포로 509),편측,0.22,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,탄천하수처리장 삼거리 부근(개포로 625),대청타워 앞(개포로 623),편측,0.7,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,광평로,신동아아파트 상가 부근(광평로47길 17),신동아아파트 708동 앞(광평로47길 17),편측,0.23,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,자곡로,강남푸르지오시티 1차 앞(자곡로 191),강남푸르지오시티 1차 앞(자곡로 191),편측,0.1,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,자곡로,강남푸르지오시티 2차 앞(자곡로 192),강남힐스테이트에코 앞(자곡로 202),편측,0.15,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,"테헤란로,역삼로",테헤란로8길 8,역삼로7길 7,편측,0.44,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,"테헤란로,역삼로",역삼로7길 8,테헤란로8길 13,편측,0.42,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 130,역삼로 172,편측,0.4,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 179,역삼로 133,편측,0.41,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 204,역삼로 246,편측,0.38,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,하나이비인후과 앞(역삼로 245/역삼로 247),역삼로 207,편측,0.34,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 404,역삼로 462,편측,0.62,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 461,역삼로 409,편측,0.58,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 506,역삼로 538,편측,0.25,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,역삼로,역삼로 531,역삼로 509,편측,0.14,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,도곡로,도곡로 158,도곡로 190,편측,0.3,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,선릉로,선릉로 310,선릉로 418,편측,0.61,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포로 204,개포로 258,편측,0.49,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,강남동산교회(개포로 257),개포로 209,편측,0.5,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,개포로,개포주공 6단지 602동 앞(개포로 516),개포주공 6단지 702동 앞(개포로 516),편측,0.3,20:00~익일07:30,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,삼성로,개포주공 3단지 재건축 현장(삼성로 11),개포주공 3단지 재건축 현장(삼성로 11),편측,0.2,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,언주로,언주로 333,언주로 313,편측,0.24,,24시간,24시간,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,헌릉로,다인빌딩(헌릉로659길 33),투레부(헌릉로569길 23),편측,0.08,11:30~14:00,11:30~14:00,11:30~14:00,Y,수서경찰서,02-2155-9398,2022-07-11
서울특별시,강남구,11680,논현로,쌍봉빌딩(논현로 46),세영빌딩(논현로 62),편측,0.11,,,06:00~20:00,Y,수서경찰서,02-2155-9398,2022-07-11
